'question, thank, you, mr', 329.7769522395252
'over, the, long, term', 131.41487570447245
'big, round, of, applause', 123.97629783440796
'a, big, round, of', 123.97629783440796
'people, around, the, world', 111.57866805096717
'all, of, us, have', 111.57866805096717
'of, the, 21st, century', 104.14009018090269
'those, of, us, who', 99.18103826752636
'who, are, here, today', 94.22198635415005
'the, world, as, it', 89.26293444077373
'president, obama, thank, you', 86.78340848408558
'my, national, security, team', 86.78340848408558
'of, the, matter, is', 84.30388252739742
'is, making, sure, that', 84.30388252739742
'over, the, course, of', 84.30388252739742
'countries, around, the, world', 84.30388252739742
'to, go, ahead, and', 84.30388252739742
'over, the, last, several', 83.06411954905333
'make, sure, that, were', 78.10506763567702
'important, for, us, to', 75.62554167898885
'i, believe, that, the', 74.38577870064478
'i, want, to, acknowledge', 71.90625274395661
'needs, to, be, done', 71.90625274395661
'our, allies, and, partners', 71.90625274395661
'that, all, of, you', 71.90625274395661
'into, the, middle, class', 66.9472008305803
'i, think, there, are', 66.9472008305803
'will, allow, us, to', 66.9472008305803
'i, think, that, we', 66.9472008305803
'going, to, take, some', 64.46767487389214
'the, degree, to, which', 64.46767487389214
'brings, me, to, the', 64.46767487389214
'the, same, is, true', 64.46767487389214
'the, challenges, we, face', 64.46767487389214
'good, to, be, back', 61.98814891720398
'democrats, and, republicans, to', 61.98814891720398
'we, make, sure, that', 61.98814891720398
'in, the, 21st, century', 60.748385938859904
'dependence, on, foreign, oil', 59.508622960515815
'percent, of, the, worlds', 59.508622960515815
'meet, the, challenges, of', 59.508622960515815
'as, it, should, be', 59.508622960515815
'in, a, time, of', 59.508622960515815
'going, to, need, to', 59.508622960515815
'have, an, interest, in', 59.508622960515815
'fact, of, the, matter', 57.02909700382766
'around, the, world, who', 57.02909700382766
'the, fact, of, the', 57.02909700382766
'of, people, who, are', 57.02909700382766
'challenges, of, our, time', 57.02909700382766
'sure, that, they, are', 57.02909700382766
'in, a, way, that', 57.02909700382766
'and, that, means, that', 54.5495710471395
'to, do, more, to', 54.5495710471395
'in, making, sure, that', 54.5495710471395
'for, us, to, make', 54.5495710471395
'our, health, care, system', 53.30980806879543
'why, the, united, states', 52.070045090451345
'the, private, sector, to', 52.070045090451345
'you, president, obama, well', 52.070045090451345
'us, to, be, able', 52.070045090451345
'have, to, recognize, that', 52.070045090451345
'think, the, american, people', 52.070045090451345
'stand, in, the, way', 52.070045090451345
'about, how, we, can', 52.070045090451345
'of, men, and, women', 52.070045090451345
'how, do, we, make', 52.070045090451345
'made, it, clear, that', 50.83028211210726
'on, the, front, lines', 49.59051913376318
'i, want, to, emphasize', 49.59051913376318
'that, allows, us, to', 49.59051913376318
'the, pursuit, of, happiness', 49.59051913376318
'our, dependence, on, foreign', 49.59051913376318
'will, continue, to, do', 49.59051913376318
'i, want, to, speak', 49.59051913376318
'not, just, in, the', 49.59051913376318
'the, challenges, of, our', 49.59051913376318
'but, make, no, mistake', 49.59051913376318
'that, there, are, some', 49.59051913376318
'to, be, very, clear', 49.59051913376318
'the, american, people, safe', 49.59051913376318
'thats, part, of, what', 47.110993177075024
'we, put, in, place', 47.110993177075024
'the, rights, of, all', 47.110993177075024
'them, a, big, round', 47.110993177075024
'can, make, a, difference', 47.110993177075024
'of, the, cuban, people', 47.110993177075024
'the, community, of, nations', 47.110993177075024
'young, people, like, you', 47.110993177075024
'this, young, lady, right', 47.110993177075024
'to, work, for, it', 47.110993177075024
'i, am, confident, that', 45.87123019873094
'keep, in, mind, that', 45.87123019873094
'we, should, be, able', 44.63146722038687
'the, course, of, the', 44.63146722038687
'around, the, world, that', 44.63146722038687
'i, also, believe, that', 44.63146722038687
'an, end, to, the', 44.63146722038687
'going, to, be, important', 44.63146722038687
'where, we, need, to', 44.63146722038687
'our, criminal, justice, system', 44.63146722038687
'make, a, difference, in', 44.63146722038687
'a, wide, range, of', 44.63146722038687
'make, sure, that, theyre', 44.63146722038687
'a, world, that, is', 44.63146722038687
'and, women, and, children', 44.63146722038687
'the, last, several, years', 43.39170424204279
'that, no, matter, how', 42.15194126369871
'make, sure, that, people', 42.15194126369871
'the, challenges, that, we', 42.15194126369871
'this, is, the, moment', 42.15194126369871
'in, the, same, way', 42.15194126369871
'greatest, nation, on, earth', 42.15194126369871
'and, the, question, is', 42.15194126369871
'the, young, people, of', 42.15194126369871
'in, the, life, of', 42.15194126369871
'so, this, is, not', 42.15194126369871
'is, to, make, sure', 40.29229679618258
'continue, to, work, with', 39.672415307010546
'liberty, and, the, pursuit', 39.672415307010546
'because, i, believe, that', 39.672415307010546
'the, role, of, government', 39.672415307010546
'the, power, of, our', 39.672415307010546
'ive, made, it, clear', 39.672415307010546
'that, all, of, us', 39.672415307010546
'shut, down, the, government', 39.672415307010546
'relationship, between, the, united', 39.672415307010546
'which, brings, me, to', 39.672415307010546
'to, our, national, security', 39.672415307010546
'we, are, willing, to', 39.672415307010546
'need, to, do, more', 39.672415307010546
'improve, the, lives, of', 39.672415307010546
'wanted, to, ask, you', 39.672415307010546
'now, let, me, be', 39.672415307010546
'we, have, not, seen', 39.672415307010546
'not, who, we, are', 39.672415307010546
'majority, of, the, american', 39.672415307010546
'and, the, pursuit, of', 39.672415307010546
'sides, of, the, aisle', 39.672415307010546
'what, you, look, like', 39.672415307010546
'the, 21st, century, and', 38.43265232866647
'let, me, be, clear', 38.019398002551775
'president, obama, i, dont', 37.19288935032239
'to, try, to, make', 37.19288935032239
'the, years, to, come', 37.19288935032239
'in, a, way, thats', 37.19288935032239
'if, we, fail, to', 37.19288935032239
